ZoneNumber,xCoordinate,yCoordinate,ZoneName,External
2302,91520.21769,5642165.03,Bow Reservations,FALSE
2303,34466.09058,5646307.28,Redwood Meadows,FALSE
2304,58486.45622,5645136.991,Tsuu Tina Reservation East,FALSE
2305,43042.03735,5643938.309,Tsuu Tina Reservation West,FALSE
2306,100376.7465,5852469.807,Wetaskiwin Reservations,FALSE
2307,-49257.08711,5842027.279,Brazeau Reservations,FALSE
2308,46555.53577,5947302.387,Wabamun Reservations,FALSE
2309,84909.56713,5925211.676,Enoch Reservation East,FALSE
2310,81554.89199,5923803.949,Enoch Reservation West,FALSE
2311,-69145.17381,6009310.777,Whitecourt Reservations,FALSE
2312,261069.738,6006796.739,Cold Lake Reservations,FALSE
2313,220805.4128,6463842.199,Wood Buffalo Reservations,FALSE
2314,-48799.9749,6193346.259,South Peace Reservations,FALSE
2315,-84628.8207,6484589.075,North Peace Reservations,FALSE
2321,-147266.1046,6420589.335,Paddle Prairie Metis,FALSE
2322,-67079.68874,6177486.875,Slave Lake Metis,FALSE
2323,177654.5398,6036406.78,Smoky Lake Metis,FALSE
2324,318046.9871,5996690.094,Bonnyville Metis,FALSE
3333,75858.39094,5924757.06,Calgary Ring Road,FALSE
4444,85560.5418,5803594.611,Edmonton Ring Road,FALSE
2,-585368.405,5486631.757,British Columbia,TRUE
3,-1105963.9,6925101.766,Yukon,TRUE
4,53877.535,6916436.284,NWT and Nunavut,TRUE
5,541810.828,5805921.439,Saskatchewan,TRUE
6,1251047.199,5704601.958,Manitoba,TRUE
7,2861493.696,5515294.505,Eastern Canada,TRUE
8,1365698.191,4398113.905,International,TRUE
